SL	Original
Vrnitev	Return
popust na preverjene komplete za zdravje	знижка на перевірені комплекти для здоров'я
Stara cena:	Стара ціна:
Nova cena kompleta iz 4 izdelkov	Нова ціна комплекту з 4-х продуктів
Cena po uporabi vašega bonusa	Ціна після застосування вашого бонусу
Popust se samodejno uporabi ob izbiri programa. Velja 3 dni	Знижка застосовується автоматично при виборі курсу. Діє 3 дні
Spoznajte mnenja naših strank	Ознайомтесь з думками наших клієнтів
Ocene	Reviews
Preberite vse ocene	Читать всі відгуки
Marija	María
Kolena so me začela boleti že pred tremi leti. Po enem mesecu <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>programa »Standard Sklepi«</a> lahko  normalno hodim po stopnicah brez ustavljanja.	Коліна почали боліти ще три роки тому. Після місяця <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>курсу \"Стандарт Суглоби\"</a> вже можу нормально ходити по сходах без того щоб зупинятись.
Carlos	Carlos
Hrbet me je bolel ves čas, še posebej zjutraj. Zdaj je veliko bolje, jemal sem <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>program »Premium Sklepi«</a>. Ne morem reči, da je popolnoma izginilo, vendar je razlika očitna.	Спина боліла постійно, особливо вранці. Зараз значно краще, приймав <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>курс \"Преміум Суглоби\"</a>. Не скажу що повністю пройшло але різниця відчутна.
Rosa	Rosa
Rekli so mi, da je to povezano s starostjo in da se ne da nič narediti. Odločila sem se poskusiti sama. Po treh tednih jemanja <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>programa »Standard«</a> se ponoči nisem več zbujala zaradi bolečine.	Мені сказали, що це вікове і нічого не вдієш. Вирішила спробувати сама. Через три тижні прийому <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>курсу \"Стандарт\"</a> вже не прокидалась від болю вночі.
Javier	Javier
Ukvarjam se s športom in sklepi so začeli pešati prezgodaj. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>Program »Premium«</a> mi je pomagal, na treningih se počutim veliko bolje.	Займаюсь спортом і суглоби почали здавати раніше часу. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>Курс \"Преміум\"</a> допоміг, відчуваю себе набагато краще на тренуваннях.
Elena	Elena
Prijateljica mi je priporočila, naj poskusim. Bila sem skeptična, vendar sem že po dveh tednih jemanja <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>programa »Standard Sklepi«</a> opazila, da se gibam veliko lažje.	Подруга порадила спробувати. Я скептично поставилась, але вже за два тижні як почала <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='joints'>курс \"Стандарт Суглоби\"</a> помітила що рухаюсь значно легше.
Lucía	Lucía
Sladkor mi je skakal po vsakem obroku. Po enem mesecu <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>programa »Standard Diabetes«</a> je raven veliko bolj stabilna. Tudi želja po sladkem se je zmanjšala.	Цукор стрибав після кожного прийому їжі. Після місяця <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>курсу \"Стандарт Діабет\"</a> рівень значно рівніший. Менше тягне на солодке теж.
Pedro	Pedro
Stalna šibkost in utrujenost sta me spremljali leta. Opravil sem <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>program »Premium«</a> 2 meseca. Zdaj imam dovolj energije, da zdržim do konca dneva brez počivanja.	Постійна слабкість і втома були моїми супутниками роками. Пропив <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>курс \"Преміум\"</a>, 2 місяці. Зараз є сили дійти до кінця дня без того щоб лягати відпочивати.
Pilar	Pilar
Spremljam sladkor že sedem let. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>Program »Standard«</a> je eden redkih, kjer sem res občutila razliko, ne le prebrala lep opis.	Слідкую за цукром вже сім років. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>Курс \"Стандарт\"</a> став один з небагатьох де реально відчула різницю, а не просто прочитала красивий опис.
Ramón	Ramón
Opozorili so me na tveganja, če ne spremenim življenjskega sloga. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>Program »Standard Diabetes«</a> mi je pomagal stabilizirati stanje, medtem ko hkrati spreminjam prehrano.	Мене попередили, що є ризики якщо не міняти спосіб життя. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>Курс \"Стандарт Діабет\"</a> допоміг стабілізувати стан поки я паралельно змінюю харчування.
Dolores	Dolores
Želja po sladkem je bila neobvladljiva. Po treh tednih <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>programa »Premium Diabetes«</a> sem opazila, da lažje grem mimo slaščičarskega oddelka.	Тяга до солодкого була неконтрольована. Після трьох тижнів <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='diabetes'>курсу \"Преміум Діабет\"</a> помітила що спокійніше проходжу повз кондитерський відділ.
Antonio	Antonio
Pritisk mi je stalno nihal, zlasti zvečer. Po <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>programu »Standard Pritisk«</a> so se vrednosti stabilizirale. Tudi žena je opazila, da sem bolj miren.	Тиск стрибав постійно, особливо ввечері. Після <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>курсу \"Стандарт Тиск\"</a> показники стабілізувались. Дружина теж помітила що я спокійніший став.
Carmen	Carmen
Noge so mi do večera tako otekle, da nisem mogla obuti čevljev. Opravila sem <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>program »Standard«</a>. Zdaj je veliko bolje, oteklina je skoraj izginila.	Ноги набрякали до вечора так що не могла взути взуття. Пропила <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>курс \"Стандарт\"</a>. Зараз набагато краще, набряки майже зникли.
Juan	Juan
Glava me je bolela skoraj vsak dan. Že tri tedne me ni bolela niti enkrat. Ne vem, ali je to zaradi <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>programa »Premium Pritisk«</a>, vendar takšnega naključja že dolgo ni bilo.	Голова боліла майже щодня. Вже три тижні як не було жодного разу. Не знаю чи це <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>курс \"Преміум Тиск\"</a> так допоміг, але збігу такого не було давно.
Isabel	Isabel
Žile so mi povzročale težave že od mladosti. Po <a href=‚‘ class=‚review-card__btn‘ data-target-screen=‚screen-course‘ data-niche=‚blood-pressure‘>programu »Standardni krvni tlak«</a> sem opazila, da mi roke in noge manj zmrzujejo in se na splošno počutim bolj polna energije.	Судини були проблемою ще з молодості. Після <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>курсу \"Стандарт Тиск\"</a> помітила що руки і ноги менше мерзнуть і загалом відчуваю себе бадьоріше.
Fernando	Fernando
Pritisk nadzorujem že pet let. Po <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>programu »Premium Pritisk«</a> so rezultati najboljši do zdaj.	Контролюю тиск вже п'ять років. Після <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='blood-pressure'>курсу \"Преміум Тиск\"</a> показники найкращі за весь цей час.
Ana	Ana
Teža je ostala nespremenjena že dve leti, ne glede na to, kaj sem počela. Po <a href=‚‘ class=‚review-card__btn‘ data-target-screen=‚screen-course‘ data-niche=‚weight-loss‘>tečaju »Standard hujšanja«</a> se je končno začelo kaj dogajati. Minus štiri kilograme v enem mesecu.	Вага стояла на місці вже два роки незалежно від того що робила. Після <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='weight-loss'>курсу \"Стандарт Схуднення\"</a> нарешті почався рух. Мінус чотири кг за місяць.
José	José
Trebuh je ostal tudi po treningih. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='weight-loss'>Program »Premium«</a> je pospešil metabolizem in rezultati v telovadnici so postali bolj vidni.	Живіт залишався навіть після тренувань. <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='weight-loss'>Курс \"Преміум\"</a> допоміг розігнати метаболізм і результати в залі стали помітніші.
Teresa	Teresa
Najljubše kavbojke se po 2 mesecih <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='weight-loss'>programa »Premium Hujšanje«</a> spet zapnejo. Ne bi rekla, da je to čudež, vendar v kombinaciji z zdravo prehrano deluje.	Улюблені джинси знову застібаються після 2 місяців <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='weight-loss'>курсу \"Преміум Схуднення\"</a>. Не скажу що це магія але в комплексі з нормальним харчуванням результат є.
Sergio	Sergio
Občutek teže v telesu je izginil že po prvem tednu. Opravil sem <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='weight-loss'>program »Standard Hujšanje«</a>, počutim se lažje in bolj gibljivo.	Важкість в тілі яка була постійно зникла вже за перший тиждень. Пропив <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='weight-loss'>курс \"Стандарт Схуднення\"</a>, відчуваю себе легше і рухливіше.
Amparo	Amparo
Prijateljica je shujšala s tem programom in mi ga priporočila. Sem bolj previdna glede pričakovanj, vendar rezultat obstaja in me veseli.	Подруга схудла на цьому курсі і порадила мені. Я більш обережна в очікуваннях але результат є і він мене радує.
Manuel	Manuel
Zbujal sem se že utrujen. Mislil sem, da je to samo starost. Po dveh tednih <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='tiredness'>programa »Standard Energija«</a> imam končno občutek, da sem spočit.	Прокидався вже втомленим. Думав це просто вік. Після двох тижнів <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='tiredness'>курсу \"Стандарт Енергія\"</a> нарешті є відчуття що виспався.
Concepción	Concepción
Energije ni bilo dovolj niti za delo niti za otroke. Zdaj pridem do večera in imam še vedno moč za nekaj zase.	Енергії не вистачало ні на роботу ні на дітей. Зараз доходжу до вечора і ще маю сили на щось для себе.
Álvaro	Álvaro
Kava ni več pomagala. Tri skodelice na dan in še vedno sem bil zaspan. Po <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='tiredness'>programu »Premium Energija«</a> sem količino kave sam zmanjšal na polovico.	Кава вже не рятувала. Три чашки на день і все одно хотілось спати. Після <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='tiredness'>курсу \"Преміум Енергія\"</a> кількість кави скоротив вдвічі сам.
Mercedes	Mercedes
Nič me ni veselilo in nisem imela moči niti za sprehod. Opravila sem <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='tiredness'>program »Standard«</a>. Zdaj hodim ven vsak dan in se počutim veliko bolje.	Нічого не тішило і не було сил навіть на прогулянку. Пропила <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='tiredness'>курс \"Стандарт\"</a>. Зараз виходжу щодня і відчуваю себе значно краще.
Ignacio	Ignacio
Delo je naporno in okrevanje po njem mi je vzelo ves vikend. Kupil sem <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='tiredness'>program »Premium Energija«</a>. Zdaj imam že v soboto zjutraj dovolj energije, da grem kam.	Робота напружена і відновлення після неї займало весь вихідний. Придбав <a href='' class='review-card__btn' data-target-screen='screen-course' data-niche='tiredness'>курс \"Преміум Енергія\"</a>. Зараз вже в суботу вранці є енергія щоб кудись поїхати.
Izberite področje, ki vas zanima:	Choose the direction you are interested in:
Izboljšati zdravje sklepov in kosti	Покращити здоров'я суглобів та кісток
Nadzorovati raven sladkorja v krvi	Контролювати рівень цукру в крові
Prispevati k normalizaciji krvnega tlaka	Сприяти нормалізації тиску
Izboljšati metabolizem in postavo	Покращити метаболізм та фігуру
Povečati raven energije	Збільшити прилив сил
Komplet za izboljšanje mišično-skeletnega sistema	Комплект для покращення опорно-рухової системи
Se težko gibate zaradi bolečin v sklepih? Pogosto čutite nelagodje?	Вам важко рухатись через біль у суглобах? Часто відчуваєте дискомфорт?
Steplex — vaš zanesljiv pomočnik pri ohranjanju mišično-skeletnega sistema v dobrem stanju! Zagotavlja lahkotnost gibanja in vsakodnevno zaščito sklepov. Za normalen krvni obtok in obnovo kosti pa poskrbi Cardiform!	Steplex — ваш надійний помічник в підтримці опорно-рухового апарату в нормі! Він забезпечить легкість у русі та надійний захист суглобів щодня. А про нормальний кровообіг та відновлення кісток подбає Cardiform!
Steplex	Steplex
Steplex — pomaga pri bolečinah v sklepih in mišicah, zmanjšuje vnetja ter izboljšuje gibljivost.	Steplex — допомагає при болях у суглобах м'язах, сприяє зменшенню запалення та відновленню рухливості.
Ekstrakt arnike —	Екстракт арніки
 zmanjšanje vnetja in oteklin	зняття запалення і набряку
Mentol —	Ментол
 protibolečinski in hladilni učinek	знеболюючий та охолоджуючий ефект
Eterično olje evkaliptusa 	Ефірна олія евкаліпту
— protivnetno in antiseptično delovanje	протизапальна і антисептична дія
Kamforjevo olje —	Камфорна олія
 zmanjšanje togosti gibanja	зменшення скутості рухів
Cardiform	Cardiform
Cardiform — spodbuja krvni obtok v žilah in tvorbo kolagena, pomaga ohranjati trdnost kosti in sklepov.	Cardiform — стимулює кровообіг в судинах та вироблення колагену, допомагає зберегти міцність кісток та суглобів.
Vitamin C —	Вітамін C
 krepitev žil in sinteza kolagena	зміцнення судин та синтез колагену
Vitamin D3 	Вітамін D3
— absorpcija kalcija in fosforja	засвоєння кальцію та фосфору
Krom — 	Хром
normalen metabolizem	нормальний обмін речовин
Vitamini B1, B6, B12 	Вітаміни B1, B6, B12
— podpora udobju gibanja	підтримка комфорту рухів
Vitamin E 	Вітамін E
— antioksidativna zaščita	антиоксидантний захист
Začnite pot do zdravega mišično-skeletnega sistema skupaj s Steplexom in Cardiformom	Почніть шлях до здорової опорно-рухової системи  разом з Steplex та Cardiform
Naroči	Замовити
Paket »Standard Sklepi«	Набор \"Стандарт Суглоби\"
Gibanje brez bolečin. Aktivno življenje brez nelagodja	Рух без болю. Активне життя без дискомфорту
2 pakiranji Steplexa in 2 pakiranji Cardiforma	2 упаковки Steplex та 2 упаковки Cardiform
Odprava togosti in bolečin v sklepih v 10 dneh	Усунення скутості і болю в суглобах за 10 днів
Akcijski pogoji 	Акційні умови
po promocijski kodi	по промокоду
cena za 4 pakiranja	ціна за <br> 4 упаковки
Izberi ta paket	Обрати цей комплекс
Paket »Premium Sklepi«	Набор \"Преміум Суглоби\"
Zdrav mišično-skeletni sistem. Dolgotrajna podpora in zaščita	Здорова опорно-рухова система. Тривала підтримка та захист
Večja ugodnost	Ще більша вигода
3 pakiranja Steplexa in 3 pakiranja Cardiforma	3 упаковки Steplex та 3 упаковки Cardiform
Preventiva bolezni sklepov in kosti v 15 dneh	Профілактика захворювань суглобів та кісток за 15 днів.
Super popust!	Супер знижка!
cena za 6 pakiranj	ціна за <br> 6 упаковок
Komplet za nadzor sladkorja	Комплект для контролю цукру
Ste utrujeni od nihanja ravni sladkorja v krvi? Ne morete premagati želje po sladkem?	Втомили коливання рівня цукру в крові? Не можете позбутися тяги до солодкого?
Z Inspicure boste lahko pozabili na težave s sladkorjem in se dolgoročno zaščitili. Izdelek podpira delovanje trebušne slinavke. Z Guavital+ pa bo želja po sladkem pod nadzorom, vaše počutje pa zaščiteno!	З Inspicure ви зможете забути про проблеми з цукром та убезпечити себе надовго. Засіб потурбується про підтримку підшлункової залози. А з Guavital+ солодке буде під контролем, а самопочуття — під захистом!
Inspicure	Inspicure
Inspicure — pomaga zniževati raven sladkorja v krvi	Inspicure — сприяє зниженню рівня цукру в крові та допомагає стабілізувати стан діабетика.
 in stabilizirati stanje pri sladkorni bolezni.	стабілізація рівня цукру в крові
stabilizacija ravni sladkorja v krvi	Екстракт Gymnema Sylvestre
Ekstrakt Gymnema Sylvestre — podpora trebušni slinavki	підтримка здорової роботи підшлункової залози
Ekstrakt oljčnih listov 	Екстракт листя оливи
— zaščita celic pred poškodbami	захист клітин від ушкоджень
zaščita pred zapleti sladkorne bolezni	захист від ускладнень діабету
Resveratrol 	Ресвератрол
— zmanjšanje inzulinske rezistence	зниження інсулінорезистентності
Guavital+	Guavital+
Guavital+ — pomaga nadzorovati apetit in zmanjšati željo po sladkem.	Guavital+ — допомагає контролювати апетит та знизити тягу до солодкого.
Ekstrakt guave	Екстракт гуави
 — nadzor apetita	контроль аппетита
Ekstrakt zelenega čaja	Екстракт зеленого чаю
 — zmanjšanje želje po sladkem	зниження потягу до солодкого
Ekstrakt grenkega pomarančevca 	Екстракт гіркого апельсину
— pospešitev metabolizma	активізація метаболізму
Začnite pot do stabilne ravni sladkorja skupaj z Inspicure in Guavital+	Почніть шлях до стабілізації рівня цукру разом з Inspicure та Guavital+
Paket »Standard Diabetes«	Набор \"Стандарт Діабет\"
Raven sladkorja pod nadzorom. Preprost korak do stabilnega počutja	Рівень цукру під контролем. Простий крок до стабільного самопочуття
2 pakiranji Inspicure in 2 pakiranji Guavital+	2 упаковки Inspicure та 2 упаковки Guavital+
Stabilizacija sladkorja v 20 dneh	Стабілізація рівню цукру в крові за 20 днів
Paket »Premium Diabetes«	Набор \"Преміум Діабет\"
Zaščita pred zapleti sladkorne bolezni	Захист від ускладнень діабету. Глибока підтримка організму від ускладнень діабету
3 pakiranja Inspicure in 3 pakiranja Guavital+	3 упаковки Inspicure та 3 упаковки Guavital+
Stabilen sladkor, več energije in samozavesti v 30 dneh	Стабільний рівень цукру, більше енергії та впевненість у кожному дні за 30 днів.
Komplet za nadzor krvnega tlaka	Комплект для контролю тиску
Ste utrujeni od nihanj tlaka in občutka teže v nogah?	Втомився від стрибків тиску та відчуття важкості в ногах?
Tonerin pomaga nežno normalizirati krvni tlak in podpira delovanje srčno-žilnega sistema. V kombinaciji z Ultraxalom pomaga odpraviti otekline in simptome hipertenzije!	Tonerin сприяє м’якій нормалізації артеріального тиску та підтримує стабільну роботу серцево-судинної системи. Поєднуючи його з прийомом Ultraxal, ви зможете позбутися набряків та симптомів гіпертоніі!
Tonerin	Tonerin
Tonerin — prispeva k znižanju krvnega tlaka, pomaga obnoviti stanje žil in srca, ter podpira normalizacijo ravni holesterola in sladkorja v krvi.	Tonerin — сприяє зниженню артеріального тиску, допомагає відновити стан судин та серця, сприяє нормалізації рівня холестерину та цукру в крові.
Krepi čvrstost in elastičnost žil ter zagotavlja vsakodnevno zaščito organizma zaradi antioksidativnega delovanja.	міцність і еластичність судин, щоденний захист організму завдяки антиоксидантній дії.
Ekstrakt oljčnih listov	Екстракт оливкового листа
antioksidativna podpora, zdravje žil, normalizacija ravni holesterola, zaščita srčno-žilnega sistema.	антиоксидантна підтримка, здоров’я судин, нормалізація рівня холестерину, захист серцево-судинну системи.
podpora stabilni ravni sladkorja v krvi, normalizacija presnove, podpora zdravju srca in žil.	підтримка стабільного рівня цукру в крові нормалізація метаболізму, підтримка здоров’я серця і судин.
Ultraxal	Ultraxal
Ultraxal — zmanjšuje obremenitev žil, znižuje raven toksinov in odpravlja otekline.	Ultraxal — зменшення навантаження на судини, зниження рівня токсинів та усунення набряків.
Korenina regrata	Корінь кульбаби
odvajanje odvečne tekočine in toksinov	виведення зайвої рідини та токсинів
Artičoka	Aртишок
normalizacija presnove maščob in ravni holesterola	нормалізація обміну жирів та рівню холестерину
Pegasti badelj	Розторопша
čiščenje in obnova jeter	очищення і відновлення печінки
Bučna semena	Гарбузове насіння
oskrba organizma z minerali, pomembnimi za zdravje srca in žil	забезпечення організму мінералами, важливими для здоров’я серця і судин
Rastlinski encim papain	Рослинний фермент рapain
zmanjšanje obremenitve organizma z izboljšanjem prebave	зниження навантаження на організм через покращення травлення
Začnite pot do stabilnega krvnega tlaka s Tonerinom in Ultraxalom	Почніть шлях до стабільного тиску разом з Tonerin та Ultraxal
Komplet »Standardni tlak«	Набор \"Стандарт Тиск\"
Hipertenzija pod nadzorom. Osnovna podpora tlaku in lahkotnosti v telesu vsak dan	Гіпертонія під контролем. Базова підтримка тиску та легкості в тілі щодня
2 pakiranji Tonerina in 2 pakiranji Ultraxala	2 упаковки Tonerin та 2 упаковки Ultraxal
Stabilizacija krvnega tlaka v 20 dneh	Стабілізація артеріального тиску за 20 днів
Komplet »Premium tlak«	Набор \"Преміум Тиск\"
Zdrav srčno-žilni sistem. Okrepljena formula za stabilen tlak in zdrave žile	Здорова серцево-судинна система. Посилена формула для стабільного тиску та здорових судин
3 pakiranja Tonerina in 3 pakiranja Ultraxala	3 упаковки Tonerin та 3 упаковки Ultraxal
Stabilna raven tlaka, zdravje žil in brez oteklin v 30 dneh	Стабільний рівень тиску, здоров’я судин та ніяких набряків за 30 днів.
Komplet za hujšanje in izboljšanje presnove	Комплект для схуднення та покращення метаболізму
Ne morete shujšati? Se teža nenehno vrača?	Не можете схуднути? Вага постійно повертається?
S Slimitalom lahko ne samo izgubite odvečne kilograme brez napornih diet in vadbe, ampak tudi dolgoročno ohranite rezultat, ne da bi se teža ponovno vrnila. Za varen razstrupljevalni učinek organizma pa poskrbi Ultraxal!	З Slimital ви можете не тільки скинути зайві кілограми без виснажуючих дієт і спорту, але й надовго зберегти результат, не набравши вагу знову. А про безпечний детокс організму подбає Ultraxal!
Slimital	Slimital
Slimital — aktivacija termogeneze in zagon mehanizma izgorevanja maščob v telesu z dolgotrajnim učinkom.	Slimital — активація термогенезу та запуск механізму жироспалювання всередині організму з довготривалим результатом.
Guarana	Гуарана
aktivacija termogeneze	активація термогенезу
Ekstrakt stebla ananasa	Екстракт стебла ананаса
pospešuje razgradnjo maščob	прискорення розщеплення жирів
Akacijeva vlaknina	Клітковина акації
normalizacija apetita	нормалізація апетиту
Ekstrakt kaktusa nopala	Екстракт кактуса нопаля
zmanjšanje absorpcije maščob in ogljikovih hidratov	зменшення засвоєння жирів і вуглеводів
Ultraxal — razstrupljanje, čiščenje, izboljšanje delovanja prebavil	Ultraxal — детоксикація, очищення, поліпшення роботи ШКТ.
obnova želodčne sluznice	відновлення слизової шлунку
Ekstrakt artičoke	Екстракт артишоку
spodbuja tvorbo encimov	стимуляція вироблення ферментів
Ekstrakt pegastega badlja	Екстракт розторопші
čiščenje toksinov	очищення від токсинів
izboljšanje peristaltike	покращення перистальтики
Ekstrakt papaje	Екстракт папайї
izboljšanje prebave	поліпшення травлення
Začnite pot do hujšanja skupaj s Simitalom in Ultraxalom	Почніть шлях до схуднення разом з Simital та Ultraxal
Komplet »Standardno hujšanje«	Набор \"Стандарт Схуднення\"
Enostavno hujšanje brez težav. Najboljše za vitko postavo	Легке схуднення без проблем. Найкраще для стрункості
2 pakiranji Simitala in 2 pakiranji Ultraxala	2 упаковки Simital та 2 упаковки Ultraxal
Postava vaših sanj v 20 dneh	Фігура вашої мрії за 20 днів
Komplet »Premium hujšanje«	Набор \"Преміум Схуднення\"
Dolgotrajen rezultat. Dvojni učinek proti odvečnim kilogramom	Тривалий результат. Подвійний удар по зайвих кілограмах
3 pakiranja Simitala in 3 pakiranja Ultraxala	3 упаковки Simital та 3 упаковки Ultraxal
Stabilno hujšanje in čiščenje v 30 dneh	Стабільне схуднення та очищення за 30 днів.
Komplet za povrnitev energije in moči	Комплект для повернення енергії та сил
Se počutite stalno utrujeni, pogosto zbolite za prehladi in virusi?	Відчуваєте постійну втому, легко підхоплюєте простуду та віруси?
Z Vermixinom se lahko znebite toksinov, ki obremenjujejo vaš organizem, okrepite imunski sistem ter obnovite energijo in delovno sposobnost. Slimital pa bo podprl prebavni sistem in zagotovil udobno prebavo!	З Vermixin ви зможете позбутися токсинів, які труять ваш організм і посилити імунітет, відновити енергію та працездатність. А Slimital  підтримає травну систему і комфортне травлення!
Vermixin	Vermixin
Vermixin — čiščenje organizma, zmanjšanje toksične obremenitve, podpora imunskemu sistemu.	Vermixin — очищення організму, зменшення токсичного навантаження, підтримка імунітету.
Bučna semena	Насіння гарбуза
čiščenje organizma, zmanjšanje toksične obremenitve	очищення організму, зменшення токсичного навантаження
Česen	Часник
ravnovesje črevesne mikroflore, zmanjšanje občutka utrujenosti	баланс мікрофлори кишківника, зменшення відчуття втоми
Ingver	Імбир
podpora zdravemu prebavljanju in krvnemu obtoku, vsakodnevna obnova energije	підтримка здорового травлення і кровообігу, відновлення енергії щодня
Semena papaje	Насіння папаї
detoksikacija, izboljšanje energijskega metabolizma	детоксикація, покращення енергетичного обміну
čiščenje krvi, jeter in ledvic, naravna obnova moči in notranjega ravnovesja	очищення крові, печінки та нирок, природне відновлення сил і внутрішнього балансу
Ognjič	Календула
antibakterijska zaščita, zmanjšanje občutka izčrpanosti	антибактеріальний захист, зменшення відчуття виснаження
Slimital — aktivacija metabolizma, podpora ravnovesju mikroflore, udobna prebava.	Slimital — активізація метаболізму, підтримка балансу мікрофлори, комфортне травлення.
Ekstrakt semen guarane	Екстракт насіння гуарани
aktivacija metabolizma, povečanje vzdržljivosti	активізація метаболізму, підвищення витривалості
udobna prebava, odpravljanje občutka teže	комфортне травлення, усунення відчуття важкості
Akacijeva vlaknina	Акацієва клітковина
podpora ravnovesju mikroflore	підтримка балансу мікрофлори
Ekstrakt nopala	Екстракт нопалу
naravna podpora nadzoru telesne teže	природна підтримка контролю ваги
Začnite pot do aktivnega življenja skupaj z Vermixinom in Slimitalom	Почніть шлях до активного життя разом з Vermixin та Slimital
Komplet »Standardna energija«	Набор \"Стандарт Енергія\"
Manj utrujenosti — več življenjske moči. Obnova energije in produktivnosti	Менше втоми — більше життєвої сили. Відновлення енергії та продуктивності
2 pakiranji Vermixina in 2 pakiranji Slimitala	2 упаковки Vermixin та 2 упаковки Slimital
Povrnitev aktivnosti v 20 dneh	Повернення активності за 20 днів
Komplet »Premium energija«	Набор \"Преміум Енергія\"
Trajna preobrazba vašega počutja. Ravnovesje čiščenja in obnove za aktivno življenje brez izčrpanosti	Стійка трансформація вашего самопочуття. Баланс очищення та відновлення для активного життя без виснаження
3 pakiranja Vermixina in 3 pakiranja Slimitala	3 упаковки Vermixin та 3 упаковки Slimital
Dolgotrajno ravnovesje energije in metabolizma v 30 dneh.	Довготривалий баланс енергії та метаболізму за 30 днів.































































































































































































































































































































































































































































































































































































































































































































































































